"","task","trialsLeft","practice","trialNum","word1","patch","colorRT","colorResponse","isicolorRT","congruent","colorAccurate","word2","sameResponse","sameRT","isisameRT","same","sameAccurate","word","ink","subid"
"1","wm",12,TRUE,0,"yellow","green",0,"NA",0,FALSE,FALSE,"green","same",1907,0,FALSE,FALSE,NA,NA,1
"2","wm",11,TRUE,1,"green","blue",0,"NA",0,FALSE,FALSE,"red","NA",0,0,FALSE,FALSE,NA,NA,1
"3","wm",10,TRUE,2,"red","red",501,NA,0,TRUE,NA,"red","same",1342,0,TRUE,TRUE,NA,NA,1
"4","wm",9,TRUE,3,"red","green",0,"NA",0,FALSE,FALSE,"green","same",2226,0,FALSE,FALSE,NA,NA,1
"5","wm",8,TRUE,4,"green","red",0,"NA",0,FALSE,FALSE,"green","diff",2445,0,TRUE,FALSE,NA,NA,1
"6","wm",7,TRUE,5,"blue","yellow",0,"NA",0,FALSE,FALSE,"yellow","same",2288,0,FALSE,FALSE,NA,NA,1
"7","wm",6,TRUE,6,"blue","yellow",0,"NA",0,FALSE,FALSE,"yellow","diff",2767,0,FALSE,TRUE,NA,NA,1
"8","wm",5,TRUE,7,"red","red",0,"NA",0,TRUE,FALSE,"green",NA,942,0,FALSE,NA,NA,NA,1
"9","wm",4,TRUE,8,"yellow","yellow",0,"NA",0,TRUE,FALSE,"yellow","NA",0,0,TRUE,FALSE,NA,NA,1
"10","wm",3,TRUE,9,"green","blue",0,"NA",0,FALSE,FALSE,"blue","same",1251,0,FALSE,FALSE,NA,NA,1
"11","wm",2,TRUE,10,"yellow","blue",0,"NA",0,FALSE,FALSE,"blue","diff",1675,0,FALSE,TRUE,NA,NA,1
"12","wm",1,TRUE,11,"blue","yellow",237,"blue",0,FALSE,FALSE,"red","diff",1793,0,FALSE,TRUE,NA,NA,1
"13","wm",72,FALSE,0,"green","green",258,"green",0,TRUE,TRUE,"green","same",2543,0,TRUE,TRUE,NA,NA,1
"14","wm",71,FALSE,1,"red","blue",0,"blue",42,FALSE,FALSE,"red","same",1299,0,TRUE,TRUE,NA,NA,1
"15","wm",70,FALSE,2,"red","red",0,"red",33,TRUE,FALSE,"red","same",505,0,TRUE,TRUE,NA,NA,1
"16","wm",69,FALSE,3,"yellow","green",0,"green",6,FALSE,FALSE,"green","diff",1250,0,FALSE,TRUE,NA,NA,1
"17","wm",68,FALSE,4,"green","red",392,"red",0,FALSE,TRUE,"green","same",812,0,TRUE,TRUE,NA,NA,1
"18","wm",67,FALSE,5,"green","yellow",0,"yellow",228,FALSE,FALSE,"yellow","diff",1328,0,FALSE,TRUE,NA,NA,1
"19","wm",66,FALSE,6,"red","yellow",0,"yellow",473,FALSE,FALSE,"yellow","diff",1361,0,FALSE,TRUE,NA,NA,1
"20","wm",65,FALSE,7,"green","red",421,"red",0,FALSE,TRUE,"green","same",1391,0,TRUE,TRUE,NA,NA,1
"21","wm",64,FALSE,8,"yellow","yellow",0,"yellow",1,TRUE,FALSE,"yellow","same",770,0,TRUE,TRUE,NA,NA,1
"22","wm",63,FALSE,9,"blue","blue",0,"blue",310,TRUE,FALSE,"blue","same",841,0,TRUE,TRUE,NA,NA,1
"23","wm",62,FALSE,10,"yellow","blue",0,"blue",35,FALSE,FALSE,"blue","same",548,0,FALSE,FALSE,NA,NA,1
"24","wm",61,FALSE,11,"yellow","yellow",0,"yellow",8,TRUE,FALSE,"red","diff",966,0,FALSE,TRUE,NA,NA,1
"25","wm",60,FALSE,12,"red","red",391,"red",0,TRUE,TRUE,"green","diff",1309,0,FALSE,TRUE,NA,NA,1
"26","wm",59,FALSE,13,"green","green",403,"green",0,TRUE,TRUE,"red","diff",1186,0,FALSE,TRUE,NA,NA,1
"27","wm",58,FALSE,14,"blue","blue",313,"blue",0,TRUE,TRUE,"red","diff",1056,0,FALSE,TRUE,NA,NA,1
"28","wm",57,FALSE,15,"red","blue",0,"blue",117,FALSE,FALSE,"red","same",1100,0,TRUE,TRUE,NA,NA,1
"29","wm",56,FALSE,16,"yellow","green",358,"green",0,FALSE,TRUE,"green","diff",1045,0,FALSE,TRUE,NA,NA,1
"30","wm",55,FALSE,17,"green","green",0,"green",205,TRUE,FALSE,"red","diff",1039,0,FALSE,TRUE,NA,NA,1
"31","wm",54,FALSE,18,"red","red",385,"red",0,TRUE,TRUE,"green","diff",1057,0,FALSE,TRUE,NA,NA,1
"32","wm",53,FALSE,19,"blue","green",0,"green",77,FALSE,FALSE,"green","diff",1130,0,FALSE,TRUE,NA,NA,1
"33","wm",52,FALSE,20,"blue","blue",0,"blue",19,TRUE,FALSE,"red","diff",973,0,FALSE,TRUE,NA,NA,1
"34","wm",51,FALSE,21,"blue","blue",0,"blue",37,TRUE,FALSE,"blue","same",854,0,TRUE,TRUE,NA,NA,1
"35","wm",50,FALSE,22,"green","green",327,"green",0,TRUE,TRUE,"blue","diff",1583,0,FALSE,TRUE,NA,NA,1
"36","wm",49,FALSE,23,"green","green",0,"green",127,TRUE,FALSE,"green","same",722,0,TRUE,TRUE,NA,NA,1
"37","wm",48,FALSE,24,"green","blue",0,"blue",50,FALSE,FALSE,"green","same",1205,0,TRUE,TRUE,NA,NA,1
"38","wm",47,FALSE,25,"yellow","yellow",349,"yellow",0,TRUE,TRUE,"yellow","same",827,0,TRUE,TRUE,NA,NA,1
"39","wm",46,FALSE,26,"green","yellow",490,"yellow",0,FALSE,TRUE,"yellow","diff",1232,0,FALSE,TRUE,NA,NA,1
"40","wm",45,FALSE,27,"yellow","red",482,"red",0,FALSE,TRUE,"yellow","same",1142,0,TRUE,TRUE,NA,NA,1
"41","wm",44,FALSE,28,"green","green",0,"green",46,TRUE,FALSE,"red","diff",1673,0,FALSE,TRUE,NA,NA,1
"42","wm",43,FALSE,29,"red","green",0,"green",16,FALSE,FALSE,"red","same",1268,0,TRUE,TRUE,NA,NA,1
"43","wm",42,FALSE,30,"blue","blue",349,"blue",0,TRUE,TRUE,"blue","same",1064,0,TRUE,TRUE,NA,NA,1
"44","wm",41,FALSE,31,"green","red",380,"red",0,FALSE,TRUE,"green","same",1040,0,TRUE,TRUE,NA,NA,1
"45","wm",40,FALSE,32,"green","green",397,"red",0,TRUE,FALSE,"blue","diff",1183,0,FALSE,TRUE,NA,NA,1
"46","wm",39,FALSE,33,"red","green",0,"green",104,FALSE,FALSE,"red","same",1326,0,TRUE,TRUE,NA,NA,1
"47","wm",38,FALSE,34,"blue","yellow",0,"green",110,FALSE,FALSE,"yellow","diff",1066,0,FALSE,TRUE,NA,NA,1
"48","wm",37,FALSE,35,"blue","red",435,"red",0,FALSE,TRUE,"blue","same",1510,0,TRUE,TRUE,NA,NA,1
"49","wm",36,FALSE,36,"green","yellow",0,"yellow",94,FALSE,FALSE,"yellow","diff",0,275,FALSE,FALSE,NA,NA,1
"50","wm",35,FALSE,37,"yellow","yellow",418,"yellow",0,TRUE,TRUE,"yellow","same",949,0,TRUE,TRUE,NA,NA,1
"51","wm",34,FALSE,38,"yellow","yellow",390,"yellow",0,TRUE,TRUE,"yellow","same",927,0,TRUE,TRUE,NA,NA,1
"52","wm",33,FALSE,39,"red","red",339,"red",0,TRUE,TRUE,"blue","diff",1109,0,FALSE,TRUE,NA,NA,1
"53","wm",32,FALSE,40,"red","yellow",0,"yellow",11,FALSE,FALSE,"yellow","diff",2745,0,FALSE,TRUE,NA,NA,1
"54","wm",31,FALSE,41,"blue","blue",0,"blue",236,TRUE,FALSE,"blue","NA",0,0,TRUE,FALSE,NA,NA,1
"55","wm",30,FALSE,42,"blue","yellow",480,"yellow",0,FALSE,TRUE,"yellow","diff",1323,0,FALSE,TRUE,NA,NA,1
"56","wm",29,FALSE,43,"yellow","yellow",379,"yellow",0,TRUE,TRUE,"red","diff",1606,0,FALSE,TRUE,NA,NA,1
"57","wm",28,FALSE,44,"blue","green",0,"green",32,FALSE,FALSE,"green","diff",1045,0,FALSE,TRUE,NA,NA,1
"58","wm",27,FALSE,45,"yellow","blue",0,"blue",21,FALSE,FALSE,"blue","diff",1338,0,FALSE,TRUE,NA,NA,1
"59","wm",26,FALSE,46,"blue","green",481,"green",0,FALSE,TRUE,"green","diff",1112,0,FALSE,TRUE,NA,NA,1
"60","wm",25,FALSE,47,"yellow","yellow",402,"yellow",0,TRUE,TRUE,"yellow","same",707,0,TRUE,TRUE,NA,NA,1
"61","wm",24,FALSE,48,"yellow","red",486,"red",0,FALSE,TRUE,"yellow","same",1323,0,TRUE,TRUE,NA,NA,1
"62","wm",23,FALSE,49,"yellow","red",0,"red",60,FALSE,FALSE,"yellow","same",836,0,TRUE,TRUE,NA,NA,1
"63","wm",22,FALSE,50,"red","green",350,"green",0,FALSE,TRUE,"red","same",878,0,TRUE,TRUE,NA,NA,1
"64","wm",21,FALSE,51,"blue","red",487,"red",0,FALSE,TRUE,"blue","same",623,0,TRUE,TRUE,NA,NA,1
"65","wm",20,FALSE,52,"blue","blue",263,"blue",0,TRUE,TRUE,"blue","same",899,0,TRUE,TRUE,NA,NA,1
"66","wm",19,FALSE,53,"blue","yellow",419,"yellow",0,FALSE,TRUE,"yellow","diff",1063,0,FALSE,TRUE,NA,NA,1
"67","wm",18,FALSE,54,"yellow","yellow",367,"yellow",0,TRUE,TRUE,"yellow","same",1068,0,TRUE,TRUE,NA,NA,1
"68","wm",17,FALSE,55,"red","red",365,"red",0,TRUE,TRUE,"red","same",611,0,TRUE,TRUE,NA,NA,1
"69","wm",16,FALSE,56,"blue","blue",459,"blue",0,TRUE,TRUE,"blue","same",872,0,TRUE,TRUE,NA,NA,1
"70","wm",15,FALSE,57,"green","green",0,"green",68,TRUE,FALSE,"green","same",1099,0,TRUE,TRUE,NA,NA,1
"71","wm",14,FALSE,58,"blue","red",0,"red",24,FALSE,FALSE,"blue","same",780,0,TRUE,TRUE,NA,NA,1
"72","wm",13,FALSE,59,"yellow","yellow",0,"green",207,TRUE,FALSE,"red","diff",1926,0,FALSE,TRUE,NA,NA,1
"73","wm",12,FALSE,60,"blue","blue",435,"blue",0,TRUE,TRUE,"red","diff",847,0,FALSE,TRUE,NA,NA,1
"74","wm",11,FALSE,61,"red","red",315,"red",0,TRUE,TRUE,"green","diff",1172,0,FALSE,TRUE,NA,NA,1
"75","wm",10,FALSE,62,"green","blue",0,"blue",76,FALSE,FALSE,"green","same",1042,0,TRUE,TRUE,NA,NA,1
"76","wm",9,FALSE,63,"green","green",334,"green",0,TRUE,TRUE,"blue","diff",911,0,FALSE,TRUE,NA,NA,1
